матч,рынок,линия,исход,кэф,p,p_cond,fair,edge_pp,ev,ev_pin,осн,прошёл_pin,тотальный,ярус,Келли_%
Шабаб Аль-Ахли Дубай — Аль-Джазира,1X2,,1,2.27,0.5297914995213647,0.5297914995213647,1.8875350036824692,0.08926286516013127,0.2026267039134979,-0.028798441198645386,True,False,False,2,2.0
Аль-Наср Дубай — Аджман,1X2,,2,3.3,0.38910201946429557,0.38910201946429557,2.5700200717970345,0.08607171643399253,0.2840366642321752,-0.09748705619725417,True,False,False,3,2.0
Аль-Наср Дубай — Аджман,Фора,,Ф2 (+0),2.47,0.38910201946429557,0.5162246640867205,1.9371410735849888,0.08394189650107597,0.2073364843576576,-0.06442129071140434,True,False,False,3,2.0
