game_id,rec_h,rec_a,h_xg_all,h_npxg,h_xg_open,h_xg_openstr,h_xg_sp,h_xg_level,h_xgot_sum,h_pens,h_shots_n,a_xg_all,a_npxg,a_xg_open,a_xg_openstr,a_xg_sp,a_xg_level,a_xgot_sum,a_pens,a_shots_n
4532385,0,1,0.7400000000000002,0.7400000000000002,0.52,0.4700000000000001,0.22,0.35,0.18,0.0,12.0,1.81,1.81,1.75,1.5499999999999998,0.06,1.13,2.07,0.0,11.0
4532386,2,4,1.13,0.3399999999999999,0.3399999999999999,0.3399999999999999,0.0,0.3399999999999999,1.89,1.0,5.0,2.880000000000001,2.880000000000001,2.7700000000000005,1.85,0.11,0.7700000000000002,3.08,0.0,32.0
4532387,0,1,0.5800000000000001,0.5800000000000001,0.4499999999999999,0.4499999999999999,0.13,0.18,0.0,0.0,8.0,0.47,0.47,0.3399999999999999,0.3399999999999999,0.13,0.16,0.0,0.0,5.0
4532388,0,1,1.9800000000000004,1.1900000000000004,1.1000000000000003,1.0500000000000005,0.09,0.8500000000000001,0.55,1.0,21.0,1.09,1.09,1.05,0.99,0.04,1.06,0.29,0.0,10.0
4532389,2,1,1.65,1.65,1.53,1.53,0.12,1.27,1.57,0.0,14.0,0.42,0.42,0.42,0.41,0.0,0.1399999999999999,0.62,0.0,8.0
4532390,0,1,0.6100000000000001,0.6100000000000001,0.3899999999999999,0.3899999999999999,0.22,0.6100000000000001,0.33,0.0,8.0,1.5800000000000003,0.7900000000000003,0.4600000000000001,0.39,0.33,0.7900000000000003,1.13,1.0,13.0
4532391,3,1,1.86,1.86,1.65,1.61,0.21,0.23,2.9000000000000004,0.0,15.0,0.14,0.14,0.08,0.08,0.06,0.06,0.82,0.0,4.0
4532392,1,1,1.95,1.95,1.5700000000000005,1.2600000000000002,0.3799999999999999,1.36,3.02,0.0,18.0,0.9000000000000001,0.9000000000000001,0.8400000000000001,0.81,0.06,0.37,0.6599999999999999,0.0,12.0
4532530,2,3,1.04,1.04,1.04,0.8699999999999999,0.0,0.79,0.33,0.0,9.0,1.2200000000000002,1.2200000000000002,1.2100000000000002,1.1,0.01,0.34,2.33,0.0,13.0
4532531,1,1,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.0,0.4599999999999999,0.6000000000000001,0.0,9.0,2.17,2.17,1.8500000000000003,1.3800000000000003,0.3199999999999999,0.6500000000000001,2.17,0.0,25.0
4532532,2,0,0.9,0.9,0.85,0.7300000000000001,0.05,0.6299999999999999,0.53,0.0,16.0,0.4499999999999999,0.4499999999999999,0.42,0.42,0.03,0.07,0.18,0.0,8.0
4532533,3,0,1.7700000000000002,1.7700000000000002,1.6700000000000002,1.6700000000000002,0.1,0.09,1.98,0.0,13.0,0.6100000000000001,0.6100000000000001,0.56,0.37,0.05,0.0,0.03,0.0,9.0
4532534,1,0,1.0900000000000003,1.0900000000000003,1.0500000000000005,0.8800000000000001,0.04,0.43,1.14,0.0,13.0,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4600000000000001,0.0,0.2,0.16,0.0,13.0
4532535,3,2,2.04,1.2500000000000002,1.11,1.04,0.14,0.22,1.37,1.0,17.0,1.22,0.43,0.25,0.25,0.18,0.18,1.64,1.0,6.0
4532536,4,0,2.18,1.39,1.39,0.98,0.0,0.3,2.81,1.0,14.0,0.1699999999999999,0.1699999999999999,0.05,0.05,0.12,0.0,0.14,0.0,3.0
4532537,0,3,0.04,0.04,0.04,0.04,0.0,0.01,0.04,0.0,3.0,2.0000000000000004,1.2100000000000004,1.0900000000000003,1.02,0.12,0.07,2.05,1.0,18.0
4532538,2,1,0.97,0.97,0.97,0.89,0.0,0.33,1.21,0.0,12.0,1.09,1.09,1.09,1.0,0.0,0.09,0.42,0.0,8.0
4532539,1,2,1.3800000000000003,1.3800000000000003,1.16,1.11,0.22,0.09,0.8,0.0,12.0,0.83,0.83,0.27,0.22,0.5599999999999999,0.82,0.42,0.0,7.0
4532540,0,1,2.12,2.12,2.12,1.5,0.0,0.06,1.82,0.0,21.0,1.4,1.4,1.36,1.27,0.04,0.81,1.11,0.0,10.0
4532541,0,0,0.53,0.53,0.43,0.37,0.0999999999999999,0.53,0.06,0.0,10.0,1.3100000000000005,1.3100000000000005,1.2100000000000002,0.99,0.1,1.3100000000000005,0.26,0.0,17.0
4532542,2,0,1.6700000000000004,1.6700000000000004,1.5900000000000003,1.3300000000000003,0.08,0.33,0.9,0.0,17.0,0.2299999999999999,0.2299999999999999,0.2299999999999999,0.21,0.0,0.1699999999999999,0.26,0.0,5.0
4532543,1,3,2.14,2.14,1.7600000000000002,1.7600000000000002,0.38,0.0,1.31,0.0,19.0,0.6900000000000001,0.6900000000000001,0.3299999999999999,0.24,0.36,0.4,1.11,0.0,7.0
4598133,1,1,1.17,0.38,0.38,0.14,0.0,0.33,0.94,1.0,7.0,1.7800000000000007,1.7800000000000007,1.2900000000000005,1.0800000000000003,0.4899999999999999,1.6500000000000006,2.74,0.0,33.0
4598134,0,1,0.52,0.52,0.52,0.27,0.0,0.52,0.28,0.0,3.0,1.9100000000000008,1.9100000000000008,1.9100000000000008,1.6100000000000003,0.0,1.8000000000000007,1.59,0.0,22.0
4598135,1,4,2.46,1.6700000000000004,1.34,1.2500000000000002,0.33,0.02,2.0900000000000003,1.0,27.0,2.33,1.5399999999999998,1.5199999999999998,0.7,0.02,0.24,3.56,1.0,11.0
4598136,2,0,2.46,1.6700000000000002,1.4600000000000002,0.99,0.21,0.38,0.99,1.0,13.0,0.8300000000000001,0.8300000000000001,0.33,0.3,0.5,0.0,0.33,0.0,15.0
4598689,0,0,1.8000000000000005,1.8000000000000005,1.6900000000000002,1.2700000000000002,0.11,1.8000000000000005,0.98,0.0,22.0,0.17,0.17,0.17,0.02,0.0,0.17,0.0,0.0,4.0
4598690,1,1,0.6300000000000001,0.6300000000000001,0.42,0.42,0.21,0.42,0.27,0.0,11.0,1.8000000000000005,1.01,0.76,0.5800000000000001,0.25,0.69,1.53,1.0,14.0
4598691,1,3,0.27,0.27,0.25,0.25,0.02,0.1699999999999999,0.12,0.0,5.0,1.5000000000000002,1.5000000000000002,1.4300000000000002,1.0100000000000002,0.07,0.6300000000000001,2.4800000000000004,0.0,16.0
4610150,1,1,0.7500000000000001,0.7500000000000001,0.67,0.4700000000000001,0.08,0.52,1.16,0.0,9.0,1.33,1.33,1.25,0.53,0.08,0.15,1.19,0.0,12.0
4610151,7,0,4.989999999999998,4.200000000000001,4.0200000000000005,2.49,0.18,0.79,4.48,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4610152,1,3,1.2200000000000002,1.2200000000000002,1.2200000000000002,1.04,0.0,0.72,0.38,0.0,16.0,0.49,0.49,0.49,0.44,0.0,0.19,0.6500000000000001,0.0,10.0
4610153,2,2,1.35,1.35,1.3,1.3,0.05,1.15,0.8300000000000001,0.0,16.0,1.0200000000000002,0.23,0.19,0.17,0.04,0.15,1.6900000000000002,1.0,7.0
4610154,3,1,1.1700000000000002,1.1700000000000002,1.1700000000000002,1.1,0.0,0.4000000000000001,2.29,0.0,11.0,1.08,1.08,0.89,0.81,0.19,0.27,0.7,0.0,16.0
4610155,3,1,2.33,2.33,2.32,1.6600000000000004,0.01,0.16,2.33,0.0,16.0,0.77,0.77,0.77,0.5900000000000001,0.0,0.33,0.81,0.0,9.0
4610156,0,0,0.98,0.98,0.9,0.73,0.08,0.98,1.15,0.0,12.0,1.0,1.0,1.0,0.78,0.0,1.0,0.33,0.0,13.0
4610157,1,0,1.0100000000000002,1.0100000000000002,0.8300000000000001,0.8300000000000001,0.18,1.0100000000000002,0.51,0.0,14.0,0.29,0.29,0.21,0.21,0.08,0.29,0.61,0.0,5.0
4610158,0,2,0.8600000000000002,0.8600000000000002,0.8100000000000002,0.8100000000000002,0.05,0.53,0.0,0.0,12.0,0.45,0.45,0.45,0.42,0.0,0.05,1.03,0.0,7.0
4610159,3,1,1.5900000000000003,1.5900000000000003,1.2300000000000002,1.09,0.36,0.74,1.6800000000000002,0.0,15.0,2.1899999999999995,1.4000000000000004,1.3800000000000003,0.6300000000000001,0.02,1.11,1.75,1.0,16.0
4610160,1,1,0.6699999999999999,0.6699999999999999,0.6299999999999999,0.44,0.04,0.51,0.95,0.0,8.0,0.15,0.15,0.15,0.15,0.0,0.15,0.58,0.0,4.0
